medicine,nlem_section,care_levels,care_levels_expanded,formulations,source_name,source_url,source_pdf,retrieved_utc
Sodium thiosulphate,4.2.12,"[""S"", ""T""]","[""Secondary"", ""Tertiary""]","[""Injection 250 mg/mL""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Magnesium sulphate,5.1.6,"[""S"", ""T""]","[""Secondary"", ""Tertiary""]","[""Injection 500 mg/mL""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Sumatriptan,5.2.4,"[""P"", ""S"", ""T""]","[""Primary"", ""Secondary"", ""Tertiary""]","[""Tablet 25 mg""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Amitriptyline,5.2.1.1,"[""P"", ""S"", ""T""]","[""Primary"", ""Secondary"", ""Tertiary""]","[""Tablet 10 mg""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Flunarizine,5.2.1.2,"[""P"", ""S"", ""T""]","[""Primary"", ""Secondary"", ""Tertiary""]","[""Tablet 5 mg""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Trihexyphenidyl,5.3.2,"[""P"", ""S"", ""T""]","[""Primary"", ""Secondary"", ""Tertiary""]","[""Tablet 2 mg""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Donepezil,5.4.1,"[""S"", ""T""]","[""Secondary"", ""Tertiary""]","[""Tablet 5 mg""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Albendazole,6.1.1.1,"[""P"", ""S"", ""T""]","[""Primary"", ""Secondary"", ""Tertiary""]","[""Chewable Tablet 400 mg""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Ivermectin,6.1.2.3,"[""P"", ""S"", ""T""]","[""Primary"", ""Secondary"", ""Tertiary""]","[""Tablet 6 mg""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Praziquantel,6.1.3.1,"[""S"", ""T""]","[""Secondary"", ""Tertiary""]","[""Tablet 600 mg""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Ampicillin,6.2.1.3,"[""P"", ""S"", ""T""]","[""Primary"", ""Secondary"", ""Tertiary""]","[""Powder for Injection 500 mg Powder for""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Benzylpenicillin,6.2.1.5,"[""P"", ""S"", ""T""]","[""Primary"", ""Secondary"", ""Tertiary""]","[""Powder for injection 5 lac units Powder for""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Cefazolin,6.2.1.7,"[""P"", ""S"", ""T""]","[""Primary"", ""Secondary"", ""Tertiary""]","[""Powder for Injection 500 mg""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Ceftazidime,6.2.1.10,"[""S"", ""T""]","[""Secondary"", ""Tertiary""]","[""Powder for Injection 250 mg""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Gentamicin,6.2.2.8,"[""P"", ""S"", ""T""]","[""Primary"", ""Secondary"", ""Tertiary""]","[""Injection 10 mg/mL""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Procaine Benzylpenicillin,6.2.2.12,"[""P"", ""S"", ""T""]","[""Primary"", ""Secondary"", ""Tertiary""]","[""Powder for injection 1000 mg (=1 million""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
